id,followers_count,friends_count,screen_name
794570862636609537,3,143,Eduardo76999753
214244024,6,40,danillo_play
794691664644308992,6,77,andreagutiakd
769692477070708737,14,184,Mohamedy01100
794690453216038913,6,101,Halima26599865
780256384323424256,5,151,joonaskallio90
794690862638911488,1,86,Amiralaroussi3
790607441956397056,48,534,0771_61
794689963275255808,2,11,edholmes102
794624212816302080,36,277,SemSem71672990
794664817789464577,33,188,Kopdap2
794689030294224896,7,95,thalesnautico
794689700464390144,6,96,TobyWoodward4
4900809311,2,13,MatlaRoberto
780563197875003392,0,22,Ahmed25405897
794682910666326016,4,117,GielBillen
794688116791672832,0,51,elabbassihassa
794687728399040512,11,64,amami_jones
613495012,9,101,OumarTraoro37
794688276523323392,0,60,farida66994955
794688462318346240,31,60,isxmbo
794688029134913537,6,95,Mourad39603092
794688016027648001,1,71,zozozoz55115916
794687686720323584,5,101,Boschra_Ab_
636175919,6,74,Ahmedhamzaa__
794683243752816640,3,98,lucasab82
794683532513832960,3,116,LiscanoElyan
202525064,208,118,binalhosni
794686964008185856,2,91,BelaSC5413
794686233704284160,0,34,jamelnidal
794685828496822272,3,49,gudusumodu
794685573164388353,0,21,farida40217370
794686907125026820,7,203,MAmineBenAbdal4
794684037201858561,0,6,Rukonkz
191044077,61,143,freddyjose00
794685956305678336,31,135,kik_bhija
794685873111662600,0,80,araceli_arbour
794685598711840768,3,72,MirkoTrtic
794685813967691777,7,115,jack_astbury
794685730945662977,5,96,Khaliddahmani54
794685673387261952,0,19,hprice344
794684530225455104,2,12,JordanWhyte11
794684138280337408,2,12,mrjackoboyle
794685085203173376,1,50,chloe141993
794681542568247297,3,35,JesusRi89830846
1589913386,52,311,BetancoSb
794685142677778432,4,43,13641Dugan
794682525645963264,14,106,PhilipsMikel5
794616038696456193,2,34,cipedaffa
794683279760834561,4,40,123456789chi
794684721515155456,5,37,ffionleighton99
794684536785432577,24,330,l_schovambach
794683654295392260,8,120,zineb_arzaz
794683382378692608,0,2,RoberthCastil20
794683644648497160,6,101,HarrisonH_10
794684130130792448,3,21,Lydiagracehard4
794652019625693185,20,63,TheLegitLucifer
794683379463622656,15,194,delwisprimeral
794680452921643013,10,92,alberto_geymer
794678452339310592,5,60,CalebJwilson03
783808994867544064,1,31,Rachid96591566
794437918412668928,8,115,Stev17jr
794682511360192512,4,104,lhadimeziane
794682816328040448,9,28,AdiArt1060
794682716067336193,0,61,HamzaManssar
794679275911872513,21,195,Tom918273645
794682396775944192,0,40,LarbiRguiba2
789803111028183040,0,12,ALEXANDERPANG1
788816831205244928,23,451,clementbeneteau
794681737318199296,8,80,demomoo1234
794682349661339649,26,133,harriso86085651
794682056789913600,43,264,CinerSammy
794681285209976832,0,22,Stuarcruz3
864798432,135,174,kaldikboyle
794681127399264257,34,257,rashsupreme
794680624653238272,16,163,MatthewB132
794675911773814785,68,294,onizuka4kh
794681045203488768,18,106,theusthug17
794680811727503360,11,61,quinn3_reagan
794677385845231617,1,25,JasonHuston5
794101815927312385,1784,15,thisandthatfc10
794680360747601920,1,108,AcevMariela
791422730537168896,13,128,PaulRhinoRyan1
65405453,23,52,yasipapa
794680539424976896,7,97,McghieCraig
769722407456272384,44,796,Tarekkh05695275
794680367311622144,10,85,jaypatterson09
794680240094199808,9,59,Miladho4854
794679941082267648,7,83,fizayokola_wt17
794679533752451072,3,39,LewisDevenney2
794673698301218816,0,8,HttpsReza
794667252293529601,2,49,YanViei23891861
781481793233059840,4,26,Moham373704131
794679301362814976,7,98,BobS40503653
794679264692019200,14,97,ryry14032005
2338910008,97,366,yanivsegev18
794632964642639872,1,16,PasaPacha
764898517672300544,0,22,daliver71
794678452670459904,14,142,PritamC64604962
4699241780,20488,21757,SnakeCharmer420
794678343694249985,0,40,HayleyChappell8
749081582749814784,36,132,EminenceEmeka
791262827738791936,68,368,AngeloSidneyVi1
794677255943454720,6,83,ridarida_hicham
794678338380005376,8,69,calplayer123
794674077218770944,8,112,4BmicaSV2c8uRZS
794678258503557121,5,81,LindsayFish5
3073296138,4186,37,BuddhiSudrajat
794677488613998592,12,79,dannyrich3012
767428359257219072,14,108,DEDE1993M
1449724447,89,121,PaddockNi
794677450592686080,2,67,kazzitaha07
794676338267488256,1,40,isaac11133546
781298377908707328,5,139,geovany_saurim
794676955446583297,3,56,ADMINLIVERPOOL
794657852090511360,2,68,DamanikErick
794676486225674240,1,40,carinhowell1821
794676790094655488,3,49,MaddockYve
781610105892503552,4,111,ngendah1
794676663204409344,9,78,sarhden
737180298274689028,18,93,Tsugi_Yuukimura
794675554708496384,2,115,ThomasCrothers3
794676449122930688,1,21,amygosling91
793378306074836992,14,158,fmalone83
794676023233220609,21,50,OBorwes
794675706647019520,5,38,Millapede_
794674358174306304,0,1,adinux50
794675104370200576,9,101,ktm_caleb_199
794676065872572417,9,54,michael38598698
2164216804,90,231,suliman_alabbad
794674352453283840,46,176,theboyceltics
794675465726423042,0,86,ali86203270
701191918529748996,17,187,Abrahamechever7
794675271630811136,5,256,Nouhachan2
794674747191783424,3,57,AmoxRojo
794674568275304448,3,87,rp681311
794674407230885888,3,75,dhdholebrook1
794673137971589120,4,22,muvara_klopp
233948267,6,21,mrzinux
794674382304116737,3,189,by2006beatrizco
794674120311050240,23,32,jamie__sweetman
781388072156033025,890,2890,upsoccernews
794671939079942145,1,44,Rosbi9
794674177231953920,3,48,bensluman18
794673014604492801,21,89,kagiso_nelly
2943697703,998,461,kieranbhafc
718236760858353665,40,229,hbaldwin149
794673693989502976,12,127,Tazimoha4
794655978339860480,34,202,MrsBrodes
794671821853523968,1,43,Jean86a
794502327126196224,2,13,imanfir60
794673684820664320,11,60,ohhmylo
794673570559377408,4,69,ach_ramadani
794673346176749568,7,78,Mayo15Lesley
484930483,61,275,eaconsuegra
791743700795789313,26,222,amankwaharmstr2
794672826049503232,1,99,lhaesin
757713280592965632,25,222,JuanSanclemen
794672570763247616,1,60,josh_boag
794672437963198468,6,93,hichamdialonde
794610802129076229,32,470,RaigosaYesid
794671967832076288,1,40,nichollewis1921
794651846077861888,13,165,sami303054
794671534010986496,0,29,jennellhenriks3
794670932665204736,0,21,Abdobozid1
794671154632028160,8,19,N0vaGames3
794578180212408321,6,152,Kaz_VasiliyLSD
794671229848420352,7,99,yenifer_lucena
794671121576632320,2,73,ahmadviga1
794670391893643266,111,825,louisewardale1
92929518,177,192,hadiiPutra
767922877702238208,17,245,rafasilvabh13
794663559519158272,9,63,midsterlfc
1975813734,396,2238,reartesgaston74
794670320863113216,12,183,hollykavanagh91
794670157113266177,2,23,Rachid72853605
794669467972370432,4,125,TorresSobeily19
794669042732826624,13,130,RayanGh8
794669140065878016,3,14,Noth1007
793456867724976128,9,133,Kalifa88388679
794669076266229761,5,118,Juancho11331
794668622933327872,0,30,HoloMoha
794669181337792512,4,94,zhaokai19890207
794669396014891008,10,121,Evertonfans_78
794669251990876160,1,46,ronnie_mummyx
794668141586550784,0,84,Khalil66746651
793440995589386240,4,114,chaib_mohameed
4915279671,72,386,Juankrew2
794667366009421824,4,88,Ckhanyisele
771303299526033409,1,53,ZBakrajo
420926505,10,135,Nouwz
794668302555578368,2,21,lzj19921129
794667208584597504,1,30,Pchakh1
794667778674454532,8,72,mdakrisaod
794667906676248576,13,44,YassineLachhab8
794668241012527104,7,120,fahdj99
794667739667398656,6,99,Makan25205162
788338644738334724,7,91,henryvic5
794666189469454338,3,51,Josep01456
